Product_ID,Product_Title,Product_Handle,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Body_Html,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
14789678072157,Peach Jam,peach-jam,Food,2024-11-28T21:21:23Z,54972283650397,4.25,40,2024-11-28T21:21:24Z,2024-11-28T21:21:23Z,"<p><meta charset=""utf-8"">Delight in the sweet, sun-ripened flavor of our Peach Jam, crafted from juicy, fresh peaches for a burst of natural goodness. Perfect for spreading on toast, pairing with cheeses, or adding a fruity twist to desserts.</p>
<p>Made in Spain </p>
<p>Weight : 106gr</p>",Default Title,Title,Default Title,71615496421725,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/19_2b6414f9-f0fc-4149-bd57-9e7c3fd18936.png?v=1732828843
14789643927901,Fig & Blackcurrant Shea Butter Bath Bomb,fig-blackcurrant-shea-butter-bath-bomb,Body Care,2024-11-28T21:08:57Z,54972099789149,4.75,16,2024-11-28T21:08:58Z,2024-11-28T21:08:57Z,"<p><meta charset=""utf-8"">Immerse yourself in luxury with our Fig &amp; Cassis Shea Butter Bath Bomb. Featuring the rich, fruity scent of fig and cassis blended with nourishing shea butter, it leaves your skin soft and your senses enchanted.</p>
<p>Made in United Kingdom </p>
<p>Weight : 180gr</p>",Default Title,Title,Default Title,71615399100765,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Figbathbomb.jpg?v=1732828107
14789642879325,Lavender & Rosemary Shea Butter Bath Bombs,lavender-rosemary-shea-butter-bath-bombs,Body Care,2024-11-28T21:05:37Z,54972092252509,4.75,16,2024-11-28T21:05:38Z,2024-11-28T21:05:37Z,"<p><meta charset=""utf-8"">Relax and rejuvenate with our Rosemary &amp; Lavender Shea Butter Bath Bomb. Infused with calming lavender, refreshing rosemary, and deeply moisturizing shea butter, it transforms your bath into a soothing oasis for mind and body.</p>
<p>Made in United Kingdom </p>
<p>Weight 180 gr</p>",Default Title,Title,Default Title,71615374524765,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/3982.jpg?v=1732827895
14789636096349,Lavender & Seeds Shea Butter Bath Bomb,lavender-seeds-shea-butter-bath-bomb,Body Care,2024-11-28T20:59:56Z,54972053422429,4.75,16,2024-11-28T20:59:57Z,2024-11-28T20:59:56Z,"<p><meta charset=""utf-8""><span>Classic relaxing bath complete with French lavender and lavender seeds. You’ll sleep well after a good soak with this one.</span></p>
<p><span>Made in United Kingdom </span></p>
<p><span>Weights : 180gr</span></p>",Default Title,Title,Default Title,71615337202013,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/LavenderBathbomb.jpg?v=1732827543
14789622530397,"Lemon, Ginger, Orange & Avocado Oil Himalayan Bath Bomb",lemon-ginger-orange-avocado-oil-himalayan-bath-bomb,Body Care,2024-11-28T20:56:46Z,54971991687517,4.75,16,2024-11-28T20:56:47Z,2024-11-28T20:56:46Z,"<p><meta charset=""utf-8"">Revitalize your senses with our Lemon, Ginger, Orange &amp; Avocado Oil Himalayan Salt Bath Bomb. Packed with zesty citrus aromas, warming ginger, and skin-loving avocado oil, it detoxifies and nourishes while promoting a refreshing, spa-like soak.</p>
<p>Made in United Kingdom</p>
<p>Weight 180gr</p>",Default Title,Title,Default Title,71615317311837,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Lemon_Ginger_Orange_AvocadoOil.jpg?v=1732827364
14789598216541,Ylang Ylang & Coconut Oil Himalayan Bath Bomb,ylang-ylang-coconut-oil-bath-bomb,Body Care,2024-11-28T20:49:42Z,54971866775901,4.75,16,2024-11-28T20:49:44Z,2024-11-28T20:49:43Z,"<p><meta charset=""utf-8"">Indulge in a tropical escape with our Ylang Ylang &amp; Coconut Oil Bath Bomb. Infused with the sweet, floral aroma of ylang ylang and the nourishing benefits of coconut oil, this bath bomb soothes your skin and calms your senses for a luxurious spa-like experience at home</p>
<p>Weight 180grms</p>
<p>Made in United Kingdom </p>",Default Title,Title,Default Title,71615210226013,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/SensualHimalayanBathBomb.jpg?v=1732826918
14780739486045,Equa Cup Wine Not,equa-cup-wine-not,Sustainable Water Bottles,2024-11-26T21:16:16Z,54938848985437,33.0,5,2024-11-26T21:16:18Z,2024-11-26T21:16:16Z,"<p><span data-mce-fragment=""1"">Designed to fit seamlessly into your morning routine, helping you get in the zone from the moment you wake up. Together with your fuel of choice </span><strong data-mce-fragment=""1"">EQUA Cup Grey</strong><span data-mce-fragment=""1""> marks the perfect start to a morning ritual that sets you up for success.<br data-mce-fragment=""1""><br data-mce-fragment=""1""></span><span data-mce-fragment=""1""></span></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from stainless steel</li>
<li data-mce-fragment=""1"">Thermo insulated (keeps hot for 8h)</li>
<li data-mce-fragment=""1"">100% leak proof</li>
<li data-mce-fragment=""1"">Inner ceramic coating for better taste</li>
<li data-mce-fragment=""1"">Sleek bracelet handle</li>
<li data-mce-fragment=""1"">Holds 300ml</li>
<li data-mce-fragment=""1"">Non-slip bottom silicon</li>
</ul>",Default Title,Title,Default Title,71582704206173,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/wine-not_shop_01_900x_7e3ef837-1c04-46d8-a992-129703b5459b.webp?v=1732655711
14768011870557,Gharb Church Sunset,gharb-church-sunset,,2024-11-23T12:19:49Z,54882856763741,39.99,5,2024-11-23T12:19:51Z,2024-11-23T12:19:49Z,"<p>Art Print in photo mat sized 8x10. Image size 6x8cm. Presented in clear plastic packaging.</p>
<p>By Artist Laura T.</p>
<p>The image is reproduced in a high quality print.</p>
<p>You can also add a quality frame so you get the complete finish, ready for hanging or sending to someone as a memory of Malta.</p>",Framed Print in 20x25 Black Wooden Frame,Product Options,Framed Print in 20x25 Black Wooden Frame,58455748510045,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/small_f_3.jpg?v=1726556873
14768011870557,Gharb Church Sunset,gharb-church-sunset,,2024-11-23T12:19:49Z,54882856796509,19.99,10,2024-11-23T12:19:51Z,2024-11-23T12:19:49Z,"<p>Art Print in photo mat sized 8x10. Image size 6x8cm. Presented in clear plastic packaging.</p>
<p>By Artist Laura T.</p>
<p>The image is reproduced in a high quality print.</p>
<p>You can also add a quality frame so you get the complete finish, ready for hanging or sending to someone as a memory of Malta.</p>",Print in Photo Mat,Product Options,Framed Print in 20x25 Black Wooden Frame,58455748510045,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/small_f_3.jpg?v=1726556873
14768005415261,Gharb Church Abstract,gharb-church-abstract,,2024-11-23T12:16:52Z,54882846835037,39.99,5,2024-11-23T12:16:53Z,2024-11-23T12:16:52Z,"<p>Art Print in photo mat sized 8x10. Image size 6x8cm. Presented in clear plastic packaging.</p>
<p>By Artist Laura T.</p>
<p>The image is reproduced in a high quality print.</p>
<p>You can also add a quality frame so you get the complete finish, ready for hanging or sending to someone as a memory of Malta.</p>",Framed Print in 20x25 Black Wooden Frame,Product Options,Framed Print in 20x25 Black Wooden Frame,58455748510045,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/small_f_3.jpg?v=1726556873
14768005415261,Gharb Church Abstract,gharb-church-abstract,,2024-11-23T12:16:52Z,54882846867805,19.99,10,2024-11-23T12:16:53Z,2024-11-23T12:16:52Z,"<p>Art Print in photo mat sized 8x10. Image size 6x8cm. Presented in clear plastic packaging.</p>
<p>By Artist Laura T.</p>
<p>The image is reproduced in a high quality print.</p>
<p>You can also add a quality frame so you get the complete finish, ready for hanging or sending to someone as a memory of Malta.</p>",Print in Photo Mat,Product Options,Framed Print in 20x25 Black Wooden Frame,58455748510045,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/small_f_3.jpg?v=1726556873
14767993192797,Portrait Man,portrait-man,,2024-11-23T12:13:28Z,54882807185757,39.99,5,2024-11-23T12:13:29Z,2024-11-23T12:13:28Z,"<p>Art Print in photo mat sized 8x10. Image size 6x8cm. Presented in clear plastic packaging.</p>
<p>By Artist Laura T.</p>
<p>The image is reproduced in a high quality print.</p>
<p>You can also add a quality frame so you get the complete finish, ready for hanging or sending to someone as a memory of Malta.</p>",Framed Print in a 20x25 Black Wooden Frame,Product Options,Framed Print in a 20x25 Black Wooden Frame,58455748510045,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/small_f_3.jpg?v=1726556873
14767993192797,Portrait Man,portrait-man,,2024-11-23T12:13:28Z,54882807218525,19.99,10,2024-11-23T12:13:29Z,2024-11-23T12:13:28Z,"<p>Art Print in photo mat sized 8x10. Image size 6x8cm. Presented in clear plastic packaging.</p>
<p>By Artist Laura T.</p>
<p>The image is reproduced in a high quality print.</p>
<p>You can also add a quality frame so you get the complete finish, ready for hanging or sending to someone as a memory of Malta.</p>",Print in Photo Mat,Product Options,Framed Print in a 20x25 Black Wooden Frame,58455748510045,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/small_f_3.jpg?v=1726556873
14767591260509,Holly Jolly Christmas Gift,holly-jolly-christmas-gift,Christmas gift boxes,2024-11-23T10:12:21Z,54881216856413,20.99,10,2024-11-23T10:12:22Z,2024-11-23T10:12:21Z,"<p>What do you get ?</p>
<ul>
<li>Montego scarf made from 100% Cotton. Two tone Coloured.  Choice of three colours to choose from.</li>
<li>Artisan made Christmas Log Truffles.</li>
<li>Signature Dyori Gift Bag.</li>
</ul>",Brown & Melon,Colour,Brown & Melon,71533660143965,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_17eb84e8-ea4f-4d6f-a38b-1f6d2546ea66.png?v=1732356988
14767591260509,Holly Jolly Christmas Gift,holly-jolly-christmas-gift,Christmas gift boxes,2024-11-23T10:12:21Z,54881216889181,20.99,21,2024-11-23T10:12:22Z,2024-11-23T10:12:21Z,"<p>What do you get ?</p>
<ul>
<li>Montego scarf made from 100% Cotton. Two tone Coloured.  Choice of three colours to choose from.</li>
<li>Artisan made Christmas Log Truffles.</li>
<li>Signature Dyori Gift Bag.</li>
</ul>",Army Green & Light Grey,Colour,Brown & Melon,71533660143965,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_17eb84e8-ea4f-4d6f-a38b-1f6d2546ea66.png?v=1732356988
14767591260509,Holly Jolly Christmas Gift,holly-jolly-christmas-gift,Christmas gift boxes,2024-11-23T10:12:21Z,54881216921949,20.99,9,2024-11-23T10:12:22Z,2024-11-23T10:12:21Z,"<p>What do you get ?</p>
<ul>
<li>Montego scarf made from 100% Cotton. Two tone Coloured.  Choice of three colours to choose from.</li>
<li>Artisan made Christmas Log Truffles.</li>
<li>Signature Dyori Gift Bag.</li>
</ul>",Butternut & Beige,Colour,Brown & Melon,71533660143965,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_17eb84e8-ea4f-4d6f-a38b-1f6d2546ea66.png?v=1732356988
14767151710557,Christmas Celebration Gift,christmas-celebration-gift,Christmas gift boxes,2024-11-23T06:45:03Z,54879141167453,24.99,15,2024-11-23T06:45:04Z,2024-11-23T06:45:03Z,"<ul>
<li>Bora shawl made from 100% Cotton.Choose one from the three different colours in the dropdown menu. Size : 95cm x 190cm</li>
<li>Artisan made Christmas Log Truffles</li>
<li>Signature Dyori Gift Bag </li>
<li>Gift tag (blank, or filled out for you with personalised message)</li>
</ul>",Green Tea,Color,Green Tea,71532574540125,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_3_2f9e26f1-2f45-402e-bf7a-64d935a03fb0.png?v=1732346013
14767151710557,Christmas Celebration Gift,christmas-celebration-gift,Christmas gift boxes,2024-11-23T06:45:03Z,54879141200221,24.99,18,2024-11-23T06:45:04Z,2024-11-23T06:45:03Z,"<ul>
<li>Bora shawl made from 100% Cotton.Choose one from the three different colours in the dropdown menu. Size : 95cm x 190cm</li>
<li>Artisan made Christmas Log Truffles</li>
<li>Signature Dyori Gift Bag </li>
<li>Gift tag (blank, or filled out for you with personalised message)</li>
</ul>",Gray,Color,Green Tea,71532574540125,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_3_2f9e26f1-2f45-402e-bf7a-64d935a03fb0.png?v=1732346013
14767151710557,Christmas Celebration Gift,christmas-celebration-gift,Christmas gift boxes,2024-11-23T06:45:03Z,54879141232989,24.99,12,2024-11-23T06:45:04Z,2024-11-23T06:45:03Z,"<ul>
<li>Bora shawl made from 100% Cotton.Choose one from the three different colours in the dropdown menu. Size : 95cm x 190cm</li>
<li>Artisan made Christmas Log Truffles</li>
<li>Signature Dyori Gift Bag </li>
<li>Gift tag (blank, or filled out for you with personalised message)</li>
</ul>",Copper Rose,Color,Green Tea,71532574540125,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_3_2f9e26f1-2f45-402e-bf7a-64d935a03fb0.png?v=1732346013
14759665533277,Bicycle Socks,bicycle-socks,Socks,2024-11-21T07:41:31Z,54843664433501,11.9,8,2024-11-21T07:41:33Z,2024-11-21T07:41:31Z,"<p><meta charset=""utf-8""><span>Pedal through the picturesque landscapes of Europe with our Bicycle socks, inspired by the cycling culture of the Netherlands. </span><span data-mce-fragment=""1"">These socks from our Europe Collection capture the charm and vibrancy of Dutch bike lanes and windmill-dotted horizons.</span></p>
<p><span data-mce-fragment=""1"">One Size</span></p>
<p><span data-mce-fragment=""1"">Made from <meta charset=""utf-8"">
<span>89% cotton, </span><span>8% polyamide, </span><span>3% elastane</span></span></p>",Default Title,Title,Default Title,71503033663837,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/bicycle2.webp?v=1732174821
14759664550237,Wine socks,wine-socks,Socks,2024-11-21T07:39:05Z,54843658895709,11.9,10,2024-11-21T07:39:06Z,2024-11-21T07:39:05Z,"<p><meta charset=""utf-8""><span>Pour yourself a glass, and let your ""Wine"" socks journey through the vineyards of Portugal with every step. From the bold flavors of Port wine to the refreshing notes of Vinho Verde, our wine socks are inspired by what Portugal's viticulture has to offer... The best wines in the world.</span></p>
<p><span>One Size</span></p>
<p><span>Made from : <meta charset=""utf-8"">89% cotton, 8% polyamide, 3% elastane</span></p>",Default Title,Title,Default Title,71503022522717,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/wine2.webp?v=1732174739
14759664124253,Dog socks,dog-socks,Socks,2024-11-21T07:36:59Z,54843656503645,11.9,10,2024-11-21T07:37:01Z,2024-11-21T07:36:59Z,"<p><meta charset=""utf-8""><span>Who's a good boy? Carry your best friend around all day with our Dog socks, so you don't miss him too much until you arrive home!</span></p>
<p><span>One Size</span></p>
<p><span>Made from : <meta charset=""utf-8"">89% cotton, 8% polyamide, 3% elastane</span></p>",Default Title,Title,Default Title,71503015903581,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Dogsocks2.webp?v=1732174565
14759663567197,Cat Socks,cat-socks,Socks,2024-11-21T07:34:54Z,54843654177117,11.9,10,2024-11-21T07:34:55Z,2024-11-21T07:34:54Z,"<p><meta charset=""utf-8""><span>Discover unparalleled comfort with our ""Cat"" socks. Treat your feet to a purrfect experience.</span><br><span>These are the perfect socks for cat lovers and to show appreciation for your pet friend!</span></p>
<p><span>One Size </span></p>
<p><span>Made from : <meta charset=""utf-8"">89% cotton, 8% polyamide, 3% elastane</span></p>",Default Title,Title,Default Title,71503005942109,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Catsocks1.jpg?v=1732174473
14759662944605,Sailing Boat Socks,sailing-boat-socks,Socks,2024-11-21T07:32:22Z,54843649327453,11.9,10,2024-11-21T07:32:24Z,2024-11-21T07:32:22Z,"<p><meta charset=""utf-8""><span>Set sail in style with our ""Sailing Boat"" socks, inspired by Portugal's relation with the sea. From Rio Tejo to the Atlantic Ocean, l</span><span data-mce-fragment=""1"">et these boat socks evoke the spirit of exploration and go in to the open sea.</span></p>
<p><span data-mce-fragment=""1"">One Size</span></p>
<p><span data-mce-fragment=""1"">Made from : <meta charset=""utf-8"">
<span>89% cotton, </span><span>8% polyamide, </span><span>3% elastane</span></span></p>",Default Title,Title,Default Title,71502988116317,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Sailingboat1.webp?v=1732174317
14759662092637,Beer Socks - Sports Edition,beer-socks-sports-edition,Socks,2024-11-21T07:29:02Z,54843642085725,12.9,20,2024-11-21T07:29:03Z,2024-11-21T07:29:02Z,"<p><meta charset=""utf-8""><span>Cheers to comfort and style with our beer socks! Whether you're a craft beer connoisseur or just enjoy a cold one with friends, these socks are brewed to perfection. So kick back, relax, and let your socks do the talking... or at least the drinking!</span></p>
<p><span>One Size</span></p>
<p><span>Made from : 75%Cotton, 22% polyamide, 3% elastane</span></p>",Default Title,Title,Default Title,71502969897309,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Beersocks2.webp?v=1732174105
14759643185501,Wine  Socks - Sports Edition,wine-socks-sports-edition,Socks,2024-11-21T07:23:39Z,54843557216605,12.9,29,2024-11-21T07:23:41Z,2024-11-21T07:23:40Z,"<p><meta charset=""utf-8""><span data-mce-fragment=""1"">Whether you're a sommelier in training or simply enjoy a glass after a long day, these socks will keep your feet cozy and your spirits high! Perfect for a day of sports or a drink with friends.</span><br></p>
<p><span data-mce-fragment=""1"">One Size</span></p>
<p><span data-mce-fragment=""1"">Made from : 75% Cotton,<meta charset=""utf-8"">
<span>22% polyamide, </span><span>3% elastane</span></span></p>",Default Title,Title,Default Title,71502930739549,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Winesockssports3.png?v=1732173739
14753422180701,The Ultimate Christmas Gift,the-ultimate-7,Christmas gift boxes,2024-11-23T09:58:34Z,54881136279901,49.99,19,2024-11-23T10:00:42Z,2024-11-19T07:41:58Z,"<p>What do you get ?</p>
<ul>
<li>Montego scarf made from 100% Cotton. Two tone Coloured.  Choice of three colours to choose from.</li>
<li>White Clover Bracelet packed in a Dyori Pouch.</li>
<li>Signature Dyori Gift Bag.</li>
</ul>",Butternut & Beige,Colour,Butternut & Beige,71533711163741,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_b0903819-d8ba-4785-8455-fbd474462ff2.png?v=1732357392
14753422180701,The Ultimate Christmas Gift,the-ultimate-7,Christmas gift boxes,2024-11-23T09:58:34Z,54881136312669,49.99,19,2024-11-23T10:00:42Z,2024-11-19T07:41:58Z,"<p>What do you get ?</p>
<ul>
<li>Montego scarf made from 100% Cotton. Two tone Coloured.  Choice of three colours to choose from.</li>
<li>White Clover Bracelet packed in a Dyori Pouch.</li>
<li>Signature Dyori Gift Bag.</li>
</ul>",Army Green & Light Grey,Colour,Butternut & Beige,71533711163741,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_b0903819-d8ba-4785-8455-fbd474462ff2.png?v=1732357392
14753422180701,The Ultimate Christmas Gift,the-ultimate-7,Christmas gift boxes,2024-11-23T09:58:34Z,54881136345437,49.99,19,2024-11-23T10:00:42Z,2024-11-19T07:41:58Z,"<p>What do you get ?</p>
<ul>
<li>Montego scarf made from 100% Cotton. Two tone Coloured.  Choice of three colours to choose from.</li>
<li>White Clover Bracelet packed in a Dyori Pouch.</li>
<li>Signature Dyori Gift Bag.</li>
</ul>",Brown & Melon,Colour,Butternut & Beige,71533711163741,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_b0903819-d8ba-4785-8455-fbd474462ff2.png?v=1732357392
14753419886941,Chic Gift Box,chic-gift-box-3,Christmas gift boxes,2024-11-23T06:49:25Z,54813673652573,184.99,20,2024-11-19T07:39:46Z,2024-11-19T07:39:45Z,"<p>What do you get?</p>
<ul>
<li>Witney Merino Wool Shawl. 70cm x 200cm.</li>
<li>Monochrome waffle textured Shawl. Made from 100% Cotton. 95cmx 190cm.</li>
<li>Manganari Shawl made from a Blend of Cotton and Bamboo. 95cm x 190cm.</li>
<li>Montego Scarf made from 100% Cotton. Two toned colour. 45cm x 190cm.</li>
<li>White Clover Bracelet packed in a Dyori Pouch.</li>
<li>Cinnamon Star Biscuits.</li>
<li>Winter Wonderland Candle. 50 Hours Burning Time.</li>
<li>White Tea &amp; Lemongrass Hand Balm.</li>
<li>Keepsake Christmas Ornament.</li>
<li>Keepsake Dyori Gift Box.</li>
</ul>",Default Title,Title,Default Title,71568425025885,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/box_3.jpg?v=1732567665
14753416610141,Rejuvenate and Refresh Gift,rejuvenate-and-refresh-gift,Christmas gift boxes,2024-11-23T07:01:39Z,54813662675293,39.99,20,2024-11-19T07:32:41Z,2024-11-19T07:32:40Z,"<p>What do you get ?</p>
<ul>
<li>Eclectic towel made from 100% Cotton. 95cm x 175cm.</li>
<li>Artisan made Spicy Vanilla Soap.</li>
<li>Soap Pouch.</li>
<li>Cactus &amp; Sea Bath Salt.</li>
<li>Keepsake Dyori Gift Box.</li>
</ul>",Default Title,Title,Default Title,71532444287325,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Screenshot2024-11-22at21.25.25.png?v=1732344973
14753414709597,Cherished Beginnings Gift,cherised-beginnings-gift,Christmas gift boxes,,54813653008733,45.99,10,2024-11-19T07:29:00Z,2024-11-19T07:28:59Z,"<p>What do you get ?</p>
<ul>
<li>Bora Shawl made from 100% Cotton with an animal print. Size 175cm x 95cm. Three colours to choose from.</li>
<li>Crochet Teething Ring.</li>
<li>Hello World Announcement Disc.</li>
<li>Keepsake Dyori Gift Box.</li>
</ul>",Green Tea,Color,Green Tea,71532532531549,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Cozy_Christmas_Selby_3_5edde5eb-99f7-4ff4-9040-ff9d3bbb0263.png?v=1732345705
